147791:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust
151267:ApriltagsCameraLog(1):,7,173.880528,174.654000,174.654000,174.654000,173.881428,1.675642,1.679175,1.384893,1.387120,10.718581
151307:ApriltagsCameraLog(1):,7,173.881428,174.251000,174.251000,174.251000,173.892875,1.672390,1.677402,1.370568,1.386017,10.697135
151347:ApriltagsCameraLog(1):,7,173.892875,174.388000,174.388000,174.388000,173.818961,1.672316,1.674877,1.372130,1.378298,10.696004
151367:ApriltagsCameraLog(1):,7,173.818961,174.603000,174.603000,174.603000,173.867909,1.669813,1.673585,1.376259,1.375219,10.674613
151407:ApriltagsCameraLog(1):,7,173.867909,174.458000,174.458000,174.458000,174.107619,1.668896,1.671702,1.364353,1.375750,10.671487
151447:ApriltagsCameraLog(1):,7,174.107619,174.843000,174.843000,174.843000,174.363147,1.668263,1.670275,1.363176,1.370057,10.666881
151467:ApriltagsCameraLog(1):,7,174.363147,174.996000,174.996000,174.996000,174.516133,1.665060,1.669248,1.357833,1.366623,10.643431
151507:ApriltagsCameraLog(1):,7,174.516133,175.048000,175.048000,175.048000,174.692634,1.659201,1.667131,1.349696,1.362239,10.600146
151527:ApriltagsCameraLog(1):,7,174.692634,175.898000,175.898000,175.898000,174.764777,1.659895,1.663142,1.367285,1.355983,10.598461
151567:ApriltagsCameraLog(1):,7,174.764777,175.121000,175.121000,175.121000,174.867396,1.652965,1.661572,1.337105,1.361649,10.556418
151587:ApriltagsCameraLog(1):,7,174.867396,175.472000,175.472000,175.472000,174.879168,1.650666,1.657244,1.342603,1.349386,10.535309
151627:ApriltagsCameraLog(1):,7,174.879168,175.076000,175.076000,175.076000,174.949564,1.644197,1.653939,1.323778,1.346010,10.493712
151667:ApriltagsCameraLog(1):,7,174.949564,175.305000,175.305000,175.305000,174.951826,1.641724,1.649055,1.325648,1.334900,10.472904
151687:ApriltagsCameraLog(1):,7,174.951826,175.168000,175.168000,175.168000,174.971738,1.638687,1.645377,1.319315,1.330284,10.452385
151727:ApriltagsCameraLog(1):,7,174.971738,175.122000,175.122000,175.122000,174.977871,1.635622,1.642024,1.313123,1.324804,10.431759
151767:ApriltagsCameraLog(1):,7,174.977871,175.018000,175.018000,175.018000,174.859604,1.632407,1.638817,1.305245,1.318967,10.411254
151807:ApriltagsCameraLog(1):,7,174.859604,175.390000,175.390000,175.390000,174.622969,1.628220,1.635610,1.316502,1.312107,10.370615
151827:ApriltagsCameraLog(1):,7,174.622969,175.531000,175.531000,175.531000,174.488264,1.628731,1.631924,1.323135,1.314320,10.370692
151867:ApriltagsCameraLog(1):,7,174.488264,174.601000,174.601000,174.601000,174.118597,1.624710,1.630356,1.303923,1.318738,10.350789
151887:ApriltagsCameraLog(1):,7,174.118597,174.892000,174.892000,174.892000,173.876033,1.623557,1.627528,1.320186,1.311332,10.331167
151927:ApriltagsCameraLog(1):,7,173.876033,173.933000,173.933000,173.933000,173.360586,1.620039,1.625568,1.305289,1.315770,10.312633
151967:ApriltagsCameraLog(1):,7,173.360586,173.344000,173.344000,173.344000,172.852291,1.617457,1.622798,1.301160,1.310533,10.294880
152007:ApriltagsCameraLog(1):,7,172.852291,173.096000,173.096000,173.096000,172.214434,1.616125,1.620126,1.309431,1.305847,10.278674
152027:ApriltagsCameraLog(1):,7,172.214434,172.009000,172.009000,172.009000,171.912838,1.612492,1.618129,1.291003,1.307642,10.262650
152067:ApriltagsCameraLog(1):,7,171.912838,172.306000,172.306000,172.306000,171.187825,1.614972,1.615336,1.312147,1.299314,10.267708
152087:ApriltagsCameraLog(1):,7,171.187825,171.801000,171.801000,171.801000,171.009952,1.612303,1.615178,1.305487,1.305731,10.250830
152127:ApriltagsCameraLog(1):,7,171.009952,171.602000,171.602000,171.602000,170.643953,1.610406,1.613740,1.307665,1.305615,10.234242
152167:ApriltagsCameraLog(1):,7,170.643953,171.424000,171.424000,171.424000,170.311148,1.606082,1.612078,1.310836,1.306648,10.197673
152187:ApriltagsCameraLog(1):,7,170.311148,170.833000,170.833000,170.833000,170.158247,1.605816,1.609092,1.301407,1.308760,10.201942
152227:ApriltagsCameraLog(1):,7,170.158247,170.409000,170.409000,170.409000,169.795272,1.600541,1.607442,1.295101,1.305089,10.164421
152267:ApriltagsCameraLog(1):,7,169.795272,169.972000,169.972000,169.972000,169.512477,1.598169,1.603979,1.290553,1.300103,10.148917
152307:ApriltagsCameraLog(1):,7,169.512477,170.058000,170.058000,170.058000,169.268041,1.599278,1.601068,1.298013,1.295332,10.152245
152327:ApriltagsCameraLog(1):,7,169.268041,170.133000,170.133000,170.133000,169.182872,1.597838,1.600178,1.305597,1.296676,10.135455
152367:ApriltagsCameraLog(1):,7,169.182872,170.209000,170.209000,170.209000,168.982077,1.598886,1.599035,1.312773,1.301144,10.139038
152407:ApriltagsCameraLog(1):,7,168.982077,169.439000,169.439000,169.439000,168.919734,1.594920,1.599006,1.293748,1.306959,10.120641
152427:ApriltagsCameraLog(1):,7,168.919734,169.274000,169.274000,169.274000,168.920422,1.591979,1.596945,1.289519,1.300359,10.100406
152467:ApriltagsCameraLog(1):,7,168.920422,169.339000,169.339000,169.339000,168.997590,1.589190,1.594449,1.289342,1.294945,10.078324
